model,price
BE7000M,38500
BE7000M,38500
BE7000M,38500
BE7000M,38500
BE7000M,38500
Cisco ISR4431-V/K9,67000
Cisco ISR4431-V/K9,67000
Cisco ISR4431-V/K9,67000
Cisco ISR4431-V/K9,67000
Cisco ISR4431-V/K9,67000
Cisco VG350/K9,38500
Cisco VG350/K9,38500
Cisco VG350/K9,38500
Cisco VG350/K9,38500
Cisco VG350/K9,38500
CTI-CMS-1K-BUN-K9,0
CTI-CMS-1K-BUN-K9,0
CTI-CMS-1K-BUN-K9,0
Firepower 4110,816700
Firepower 4110,816700
Firepower 4110,816700
FMC 4500,115000
FMC 4500,115000
ISR4431,115000
ISR4431,115000
ISR4431,115000
Nexus1000V,0
Nexus1000V,0

181M9W2,32000
528S9P2,9700
526T9P2,9700
525W9P2,9700
523V9P2,9700
5241BP2,9700
HSQQ7N2,6700
HSRKLN2,6700
B52BNK2,10800
FZVQXJ2,10800
H8ZLXJ2,10800
H8YRXJ2,10800
8NPRXJ2,6900
8NPQXJ2,6900
7QVTDV2,6800
2VP4RG2,9700
DFRSXX1,9700
DX0T7R1,8900
8CG9177PWQ,1090
1618NM103L,145000
7LJ0B33,32000
5GKG703,12800
WV12MP0578,0
HUJ7489NN4,55000
99A4254,9700
HJJM8T2,150000
86JJHJ2,150000
FB89822,125000
SGH550WH89,125000
SGH550WH8C,125000
SGH48230XA,125000
SGH3301E69,125000
HQBPDB2,97000
5L9S6Q1,75000
8D9G4Y1,75000
2S6251B098,75000
HSBLVTXNAS,75000
C13MD2S,55000
5C7337P0CL,52060
DBS8B2S,45000
7GDYLZ1,45000
3XFTPQ1 / 35GD5P1,32000
2M9M8R1,32000
C7BTVQ1,32000
5GCRDV2,32000
5GCYDV2,32000
HRPX6T2,32000
HRRT6T2,32000
HVD07T2,32000
HRQY6T2,32000
JBCMLN2,32000
JB7Q7N2,32000
JB7NLN2,32000
JBBPLN2,32000
JB7V7N2,32000
J9TKLN2,32000
J9TMLN2,32000
JB6V7N2,32000
J9SP7N2,32000
JBBS7N2,32000
JBCKLN2,32000
J9TN7N2,320001212,1212
